firm,date_review,job_title,current,location,overall_rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,senior_mgmt,recommend,ceo_approv,outlook,headline,pros,cons
Student-Loans-Company,43685, Developer,"Current Employee, more than 1 year","Darlington, North East England, England, England",4,5.0,4.0,,2.0,2.0,3.0,v,r,v,Friendly and supportive group  of people.,Good working environment and relaxed culture.,The pay is not that great.
Pizza-Hut,42216, Pizza Cook,"Current Employee, less than 1 year","Lynnwood, WA",1,1.0,1.0,,1.0,1.0,1.0,x,x,x,Never Again.,"Somewhat laid back in the beginning.
Learn how to make pizza.
That's about it.","No benefits.
Nothing is fresh as they claim it is.
Everyone is super fake."
Citi,42500, ,Current Employee,,4,4.0,4.0,,4.0,4.0,4.0,v,r,v,teller,gain experience in banking industry,not enough pressure or responsibilities
KPMG,44174, Associate Director,"Current Employee, more than 5 years",Singapore,4,3.0,5.0,5.0,4.0,3.0,5.0,o,o,o,Company review,"Brand name, exposure, career progression, team, ethics","Salary, work load, compensation, limitation, resource"
EY,43539, Associate,"Current Employee, more than 1 year","Atlanta, GA",4,3.0,4.0,,4.0,3.0,4.0,v,v,v,Staff and work life balance,Safe and pay is moderate,Work life balance is not the best
KPMG,43763, Anonymous Employee,"Current Employee, more than 3 years",Cape Town,4,2.0,5.0,,5.0,3.0,4.0,o,o,o,KPMG Cape Town Supervisor,"* Good opportunities for networking and client experience
* Very friendly work culture with great social events","* Long hours
* Lower pay than in industry"
HSBC-Holdings,44159, Associate,"Current Employee, more than 5 years",Singapore,4,4.0,5.0,5.0,4.0,3.0,3.0,v,v,r,Excellent,Huge network provides one a lot of opportunities within the bank,Bureaucracy similar to any other large firm
IBM,43027, Software Test Engineer,"Former Employee, more than 1 year",,5,5.0,5.0,,5.0,4.0,3.0,v,v,v,One of the best companies to work for!,Flexibility is one of the best part about working at IBM,The promation speed is slow
HSBC-Holdings,44153, Risk and Control Manager,Current Employee,Hong Kong,3,4.0,4.0,5.0,4.0,3.0,3.0,v,v,v,Busy high workload,Learning opporturnities and great company,"High workload, demanding and busy"
BT,44114, Project Manager,Current Employee,"Gurgaon, Haryana, Haryana",5,5.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Leader in  telecomm network,Good exposure to telecomm networks,Still to catch up on new technologies in the market.
American-Express,43817, Anonymous Employee,Former Employee,,4,1.0,5.0,,1.0,4.0,3.0,v,o,r,Good If you're looking for money,Good in terms of management(Facilities),No work-life balance. You gotta work for 24 hours(Any shift within 24 hours of the day)
Square-Enix,43669, Game Designer,"Current Employee, more than 3 years",Tokyo,3,2.0,3.0,,4.0,2.0,3.0,v,r,v,Job,Working for one of the best gaming companies,Not much work/life balance but everywhere is like that in Japan.
Sky,44133, Retention Specialist,"Former Employee, more than 1 year","Glasgow, Scotland, Scotland",3,1.0,3.0,4.0,3.0,4.0,1.0,x,r,r,"Good money, if you have no conscience",Good bonuses if you don't care about conning people into crap they don't need.,They turn it into a high pressure sales job with ridiculous shift patterns that rely on your life revolving around work
EY,44263, Leave Management Analyst,"Former Employee, more than 10 years","Secaucus, NJ",4,3.0,3.0,3.0,3.0,3.0,3.0,v,v,v,Good Firm,A lot of opportunity for client serving.,Limited opportunity for core business services.
Primark,43293, Anonymous Employee,Current Employee,,4,,,,,,,v,v,r,Good company to work for,"Great working environment, good amount of overtime available","The salary was low, very busy most of the time"
PwC,42974, Anonymous Employee,"Former Employee, more than 5 years","London, England, England",4,3.0,4.0,,4.0,3.0,4.0,v,r,r,Pwc review,The people. Some amazing quality people at the firm from whom you learn professionally and personally.,Could be better paid and promotion depends on who sponsors you
Deloitte,44174, Consultant,Current Employee,"London, England, England",3,,,,,,,o,o,o,There are better companies,Pay is average and the working conditions are good enough,There's nothing remarkable about this company
Deloitte,42426, ,Current Employee,,4,3.0,3.0,,4.0,5.0,2.0,o,o,o,Great Company Slow Growth,"Great company, great benefits, great team to work with, learned alot.",There is rarely any room for growth or shall I say moving up the ladder. Fixed price contracts mean that there is rarely any room for a salary increase or move up in position. You are basically stuck where you are until you get out.
Deloitte,43707, Strategy Manager,Current Employee,,4,,,,5.0,3.0,,o,o,o,great company,good exposure and excellent learning,long working hours and hard deadlines
IBM,42084, Software Engineer,Current Employee,Bangalore,4,5.0,5.0,,5.0,5.0,5.0,v,v,v,A technology company with good work life balance,Excellent Support from management for work-life balance,Need more flexibility in adoption of technology.
Debenhams,44302, Christmas Temp,"Former Employee, less than 1 year",,2,4.0,2.0,1.0,3.0,3.0,2.0,x,r,r,N/a,Time goes faster when it is busy over the Christmas period,Felt a bit excluded from the team
Citi,42098, Investment Banking Analyst,Former Employee,,5,5.0,5.0,,5.0,5.0,5.0,v,v,v,Very Nice,"Good Mentors, Offered good mentorship, and good culture.",No Cons as of now
EY,44018, Audit Executive,"Current Employee, more than 1 year",Singapore,3,1.0,2.0,,2.0,2.0,2.0,x,v,v,Review on Company,=- good stepping stone to career,"=- Some Managers are not nice, very self centred to their own development without caring about junior staff"
Bloomberg-L-P,44306, Software Engineer,"Current Employee, more than 3 years","Princeton, NJ",5,5.0,5.0,5.0,5.0,5.0,5.0,v,v,v,great place to work,"Community, Benefits, BOB, Work, people",No work-from home full time
Bloomberg-L-P,43831, GD Analyst,"Current Employee, more than 1 year","Skillman, NJ",3,5.0,2.0,,3.0,5.0,2.0,v,x,r,Limited Career Opportunities,"- Great for entry level/first job out of school
- Lot of opportunities to learn
- Can really make a difference if you are deemed to be a favorite of your manager","- No opportunities for recognition or career advancement unless you enter management
- The few managers above team leaders hold a lot of power within Data, most only care about fighting for headcount/jurisdiction over products.  They will only promote and develop those they want to be potential managers under them.
-Afterthought (in Global Data) if you don't know technology and want a career in finance, really need to fight to get on good projects
-Turnover high as a result

There are always open spots within GD, but most managers do not want to take you on blindly even if you are tenured, so there often is no choice but to outright leave the department.  The worst I have seen is a manager telling a ""long"" tenured (3+ years) and consistent top 5 (within the team) performer to leave the team, and wouldn't even help refer the employee to a new group.

There is no loyalty here for you if you aren't a manager, great place to start career,  not good a good place to stay longer than 2 years if you aren't a manager."
IBM,41717, IT Specialist,"Former Employee, more than 8 years","Quezon City, National Capital Region, National Capital Region",1,2.0,4.0,,1.0,3.0,2.0,x,x,x,"Google ""IBM ROADMAP 2015"" ... Glad to be finally un-Blued,",Perfect for new graduates off for a quick buck (company saves more),"IBM Roadkill 2015

0% chance of specializing in your field of expertise

Outdated PBC methods (your performance rating is already determined even before your form is submitted)

Company focuses more on shareholders and uses employees as cannon fodder

Management frowns down on employees who question policies

Labor union not allowed"
Oracle,43704, Anonymous Employee,Former Employee,,4,,,,,,,o,o,o,Software Engineer,Good Technical carrier Growth. Work life balance,No salary hikes. Manager driven company
Apple,41492, Specialist,"Current Employee, more than 1 year","New York, NY",4,1.0,4.0,,2.0,4.0,4.0,v,v,v,I have been working part-time for 2 years.,"Pretty relaxed work environment amongst peers and management, depending on the managers for the day. Medical benefits for part-timers. Commuter benefits help a great deal in nyc.",It's a retail job. Unclear path for movement in my store. Little to no full time opportunities. Any full-timer that leaves or gets fired gets replaced with 2 part-time positions. Favoritism for promotions or movement within the company.
Apple,44121, R&D,"Current Employee, more than 5 years",,2,3.0,1.0,2.0,2.0,4.0,3.0,o,v,o,Bullying bosses,"Products and branding, decent compensation","Cronyism, arrogant boss, no work life balance"
Goldman-Sachs,42486, Anonymous Employee,Former Employee,,2,,,,,,,o,o,o,"Good pay, horrible environment","- Good pay, smart people
- good gym:-)","- People not very nice/nasty and arrogant culture
- Very hierarchical with aggressive senior males making all decisions
- Very long hours, and not always at times when it's needed (i.e. ""Face time"")"
IBM,44182, Design Principal,"Current Employee, more than 10 years","Ottawa, ON",5,5.0,5.0,4.0,5.0,4.0,5.0,v,v,v,IBM supports you as individual,"IBM embraces individual differences, and because of that you can focus on your personal strengths. IBM offers career paths for non-managers, the path of technical leadership and excellence, which allows me to focus on the content of technology and helping others to do the same.
2020 was a special year, and IBM clearly was the place to work as they showed understanding and respect for the individual circumstances everyone was in. 
Leadership has become very clear regarding business goals.","There are so many interesting side project you can get involved in that you need self discipline to choose only those that will fit your career.
Understanding what is going on in every part of the organization is not possible."
HSBC-Holdings,43641, Senior Java Developer,"Current Employee, less than 1 year","Winnipeg, MB",4,,,,,,,o,o,o,"J2EE/Java, Hibernate, Spring, Spring MVC, JavaScript, Micro service","More learning potential, Friendly and supportive team,",I don't feel like there is something to mention
KPMG,44231, Assistant Manager,"Current Employee, more than 5 years","London, England, England",3,2.0,4.0,2.0,3.0,1.0,3.0,x,v,x,Good experience but underpaid,Learnt a large amount doing the ACA,"Hours are bad
Pay is bad"
McDonald-s,44092, Cashier,"Former Employee, more than 3 years","Brooklyn, NY",3,5.0,3.0,5.0,2.0,3.0,3.0,o,o,o,A quick review,"Just your first step in the door for when you're young. You learn alot about dealing with customers in a professional setting. Usually they have complaints or problems and its up to you to diffuse the situation. Also, you learn to work quickly because if you don't, customers and management become upset with you. You learn many different every day skills in case you didn't learn them from home already.","Sometimes the restaurant gets packed very quickly and orders are flying around, its fun until someone makes a mistake now you have to devote your entire attention to the customer to make sure they are satisfied or else they'll want a refund or become upset. Sometimes you would ask for change from management because you're out of coins or single dollar bills and they would completely forget even though you gave them the $20 or $50 and then they'd leave for the day and you'll be short during the register count."
Marriott-International,44214, Server,Former Employee,"Coquitlam, BC",5,5.0,5.0,5.0,4.0,4.0,5.0,v,v,r,Excellent,"Takes care of their employees. Personable, professional, great benifits",Lost job due to Covid
